path_id,direction,mode,true_center,prediction_rate,predicted_ridge_median,signed_error_median,abs_error_median,centre_range,endpoint_separation_median,x_r_peak_offset_median,wrong_center,wrong_abs_error
q13:d43:t640:r5:irrational_to_rational,irrational_to_rational,abrupt,1819.0,1.0,1926.959901630088,107.9599016300881,107.9599016300881,171.01351927612905,1.9789635526615892,-150.9599016300882,2471.0,544.0400983699119
q17:d47:t256:r0:irrational_to_rational,irrational_to_rational,abrupt,1843.0,1.0,1960.6965382360374,117.69653823603744,117.69653823603744,172.8655033403818,1.7656417094391226,-120.69653823603744,2495.0,534.3034617639626
q17:d47:t256:r1:irrational_to_rational,irrational_to_rational,abrupt,1867.0,1.0,1983.81963983102,116.81963983101991,116.81963983101991,186.40654152923435,1.7630990292236424,-175.8196398310199,2519.0,535.1803601689801
q17:d47:t256:r2:irrational_to_rational,irrational_to_rational,abrupt,1891.0,1.0,2009.927685858875,118.92768585887507,118.92768585887507,177.1019883794629,1.7598880356738391,-169.92768585887518,2543.0,533.0723141411249
q17:d47:t256:r3:irrational_to_rational,irrational_to_rational,abrupt,1915.0,1.0,2034.5339300906385,119.53393009063848,119.53393009063848,171.28838988432153,1.761930848718879,-162.5339300906386,2567.0,532.4660699093615
q17:d47:t256:r4:irrational_to_rational,irrational_to_rational,abrupt,1939.0,1.0,2057.295533085928,118.29553308592813,118.29553308592813,172.69642380849723,1.7656417094391226,-121.29553308592813,2591.0,533.7044669140719
q17:d47:t256:r5:irrational_to_rational,irrational_to_rational,abrupt,1963.0,1.0,2079.9571534856577,116.95715348565773,116.95715348565773,186.63662565322784,1.7598880356738391,-127.95715348565795,2616.0,536.0428465143423
q17:d47:t448:r0:irrational_to_rational,irrational_to_rational,abrupt,1988.0,1.0,2104.613052328825,116.61305232882478,116.61305232882478,176.34587916113014,1.761930848718879,-120.61305232882478,2640.0,535.3869476711752
q17:d47:t448:r1:irrational_to_rational,irrational_to_rational,abrupt,2012.0,1.0,2130.1402871538794,118.1402871538794,118.1402871538794,170.98183538591638,1.7605402965905257,-162.14028715387963,2664.0,533.8597128461206
q17:d47:t448:r2:irrational_to_rational,irrational_to_rational,abrupt,2036.0,1.0,2153.579033324353,117.57903332435308,117.57903332435308,173.48087143123166,1.7674507373597237,-185.57903332435308,2688.0,534.4209666756469
