time_us,prompt_rate,delayed_rate,cumulative_ara
3.080499999999999794e+00,1.826242684411610897e-05,3.788394627901178063e-02,1.637120997945723300e+00
3.085500000000000131e+00,1.823915872165396987e-05,3.778900460963591224e-02,1.638306904595161040e+00
3.090500000000000025e+00,1.821512534231719109e-05,3.769428084481434710e-02,1.639489838926686538e+00
3.095499999999999918e+00,1.819058840240221107e-05,3.759979630154262897e-02,1.640669809330701501e+00
3.100499999999999812e+00,1.816571118237386562e-05,3.750559558429495538e-02,1.641846823106368758e+00
3.105500000000000149e+00,1.814025712590554428e-05,3.741167676960013844e-02,1.643020889849989397e+00
3.110500000000000043e+00,1.811355826643681289e-05,3.731802019628543965e-02,1.644192017282628093e+00
3.115499999999999936e+00,1.808680081618404563e-05,3.722461748963898365e-02,1.645360214027567158e+00
3.120499999999999829e+00,1.805908423003754071e-05,3.713148358773295243e-02,1.646525488008089066e+00
3.125500000000000167e+00,1.803122948850883437e-05,3.703860265799614748e-02,1.647687847707781428e+00
3.130500000000000060e+00,1.800195433282366554e-05,3.694599757344079610e-02,1.648847301225571105e+00
3.135499999999999954e+00,1.797185031261080054e-05,3.685364528104879273e-02,1.650003857027653620e+00
3.140499999999999847e+00,1.794009936177103301e-05,3.676154854814160655e-02,1.651157522169915293e+00
3.145500000000000185e+00,1.790711188945711432e-05,3.666969948290720732e-02,1.652308305677512745e+00
3.150500000000000078e+00,1.787291577333051051e-05,3.657810906156545167e-02,1.653456214163739224e+00
3.155499999999999972e+00,1.783677152994999786e-05,3.648676742833630027e-02,1.654601256616929028e+00
3.160499999999999865e+00,1.780013129584918501e-05,3.639566358026508075e-02,1.655743439678248219e+00
3.165500000000000203e+00,1.776246457377948790e-05,3.630483727202536010e-02,1.656882772277783245e+00
3.170500000000000096e+00,1.772360295743004757e-05,3.621421424664164612e-02,1.658019261195054384e+00
3.175499999999999989e+00,1.768377966242046389e-05,3.612384786233533568e-02,1.659152913919885508e+00
3.180499999999999883e+00,1.764263289272652616e-05,3.603374927592756238e-02,1.660283738969967837e+00
3.185500000000000220e+00,1.760074013232597914e-05,3.594390425873185413e-02,1.661411743990174994e+00
3.190500000000000114e+00,1.755713320707404156e-05,3.585428405589333872e-02,1.662536936488074879e+00
3.195500000000000007e+00,1.751236649708596977e-05,3.576489248049764813e-02,1.663659323404201862e+00
3.200499999999999901e+00,1.746641853762749723e-05,3.567574520638386315e-02,1.664778912731561755e+00
3.205499999999999794e+00,1.741904683987094784e-05,3.558680124117703791e-02,1.665895711145497948e+00
3.210500000000000131e+00,1.737018678880086550e-05,3.549809622470908449e-02,1.667009725180683910e+00
3.215500000000000025e+00,1.731986528334656219e-05,3.540960227541111588e-02,1.668120962116473427e+00
3.220499999999999918e+00,1.726876877652113276e-05,3.532133170053187304e-02,1.669229428313552699e+00
3.225499999999999812e+00,1.721786209177302403e-05,3.523325808225139660e-02,1.670335131107542725e+00
3.230500000000000149e+00,1.716638588714421057e-05,3.514540917993330682e-02,1.671438076404894835e+00
3.235500000000000043e+00,1.711465423050407354e-05,3.505777339782320534e-02,1.672538271533853704e+00
3.240499999999999936e+00,1.706219757945585841e-05,3.497034805449487221e-02,1.673635722353934430e+00
